Congresista,Región,Votación,Grupo,Comisiones,Bancada,Representatividad
Acuña Peralta María Grimaneza,Lambayeque,11384,Alianza para el Progreso,"[['Agraria', 'A'], ['Economía, Banca, Finanzas e Inteligencia Financiera', 'T'], ['Presupuesto y Cuenta General de la República', 'A'], ['Vivienda y Construcción', 'V']]",ALIANZA PARA EL PROGRESO,0.009508377461871272
Acuña Peralta Segundo Héctor,La Libertad,19729,Alianza para el Progreso,"[['Ciencia, Innovación y Tecnología', 'T'], ['Presupuesto y Cuenta General de la República', 'P']]",ALIANZA PARA EL PROGRESO,0.011095676235040043
Agüero Gutiérrez María Antonieta,Arequipa,29293,Partido Politico Nacional Perú Libre,"[['Comercio Exterior y Turismo', 'S'], ['Inclusión Social y Personas con Discapacidad', 'A'], ['Trabajo y Seguridad Social', 'T'], ['Vivienda y Construcción', 'A']]",PERÚ LIBRE,0.021184902330896125
Aguinaga Recuenco Alejandro Aurelio,Lambayeque,10715,Fuerza Popular,"[['Ciencia, Innovación y Tecnología', 'A'], ['Constitución y Reglamento', 'T'], ['Presupuesto y Cuenta General de la República', 'T'], ['Relaciones Exteriores', 'A'], ['Salud y Población', 'A']]",FUERZA POPULAR,0.008949601590297847
Alcarraz Aguero Yorel Kira,Lima,28404,Partido Democrático Somos Perú,"[['Defensa del Consumidor y Organismos Reguladores de los Servicios Públicos', 'A'], ['Descentralización, Regionalización, Gobiernos Locales y Modernización de la Gestión del Estado', 'A'], ['Fiscalización y Contraloría', 'A'], ['Inclusión Social y Personas con Discapacidad', 'T'], ['Mujer y Familia', 'T'], ['Salud y Población', 'A'], ['Vivienda y Construcción', 'T']]",SOMOS PERÚ,0.0029944952271410657
Alegría García Arturo,San Martín,2443,Fuerza Popular,"[['Comercio Exterior y Turismo', 'A'], ['Economía, Banca, Finanzas e Inteligencia Financiera', 'A'], ['Energía y Minas', 'A'], ['Fiscalización y Contraloría', 'T'], ['Presupuesto y Cuenta General de la República', 'S'], ['Pueblos Andinos, Amazónicos y Afroperuanos, Ambiente y Ecología', 'T'], ['Relaciones Exteriores', 'T'], ['Transportes y Comunicaciones', 'A'], ['Vivienda y Construcción', 'T']]",FUERZA POPULAR,0.003003512499062555
Alva Prieto María del Carmen,Lima,25219,Acción Popular,[],ACCIÓN POPULAR,0.002658716206635352
Alva Rojas Carlos Enrique,La Libertad,8061,Acción Popular,"[['Ciencia, Innovación y Tecnología', 'T'], ['Educación, Juventud y Deporte', 'A'], ['Energía y Minas', 'P'], ['Presupuesto y Cuenta General de la República', 'A'], ['Producción, Micro y Pequeña Empresa y Cooperativas', 'T'], ['Relaciones Exteriores', 'A'], ['Transportes y Comunicaciones', 'A'], ['Vivienda y Construcción', 'A']]",ACCIÓN POPULAR,0.004533541797894358
Amuruz Dulanto Yessica Rosselli,Lima,21855,Avanza País - Partido de Integración Social,"[['Constitución y Reglamento', 'A'], ['Descentralización, Regionalización, Gobiernos Locales y Modernización de la Gestión del Estado', 'A'], ['Justicia y Derechos Humanos', 'A'], ['Mujer y Familia', 'A'], ['Relaciones Exteriores', 'T'], ['Transportes y Comunicaciones', 'T'], ['Vivienda y Construcción', 'T']]",AVANZA PAÍS - PARTIDO DE INTEGRACIÓN SOCIAL,0.0023040660889018447
Anderson Ramírez Carlos Antonio,Lima,14052,Podemos Perú,"[['Constitución y Reglamento', 'A'], ['Economía, Banca, Finanzas e Inteligencia Financiera', 'S'], ['Presupuesto y Cuenta General de la República', 'A']]",PODEMOS PERÚ,0.0014814338449438901
