Congresista,Región,Votación,Comisiones,Bancada
Acuña Peralta María Grimaneza,Lambayeque,"11,384","[['Agraria', 'A'], ['Economía, Banca, Finanzas e Inteligencia Financiera', 'T'], ['Presupuesto y Cuenta General de la República', 'A'], ['Vivienda y Construcción', 'V']]",ALIANZA PARA EL PROGRESO
Acuña Peralta Segundo Héctor,La Libertad,"19,729","[['Ciencia, Innovación y Tecnología', 'T'], ['Presupuesto y Cuenta General de la República', 'P']]",ALIANZA PARA EL PROGRESO
Agüero Gutiérrez María Antonieta,Arequipa,"29,293","[['Comercio Exterior y Turismo', 'S'], ['Inclusión Social y Personas con Discapacidad', 'A'], ['Trabajo y Seguridad Social', 'T'], ['Vivienda y Construcción', 'A']]",PERÚ LIBRE
Aguinaga Recuenco Alejandro Aurelio,Lambayeque,"10,715","[['Ciencia, Innovación y Tecnología', 'A'], ['Constitución y Reglamento', 'T'], ['Presupuesto y Cuenta General de la República', 'T'], ['Relaciones Exteriores', 'A'], ['Salud y Población', 'A']]",FUERZA POPULAR
Alcarraz Aguero Yorel Kira,Lima,"28,404","[['Defensa del Consumidor y Organismos Reguladores de los Servicios Públicos', 'A'], ['Descentralización, Regionalización, Gobiernos Locales y Modernización de la Gestión del Estado', 'A'], ['Fiscalización y Contraloría', 'A'], ['Inclusión Social y Personas con Discapacidad', 'T'], ['Mujer y Familia', 'T'], ['Salud y Población', 'A'], ['Vivienda y Construcción', 'T']]",SOMOS PERÚ
Alegría García Arturo,San Martín,"2,443","[['Comercio Exterior y Turismo', 'A'], ['Economía, Banca, Finanzas e Inteligencia Financiera', 'A'], ['Energía y Minas', 'A'], ['Fiscalización y Contraloría', 'T'], ['Presupuesto y Cuenta General de la República', 'S'], ['Pueblos Andinos, Amazónicos y Afroperuanos, Ambiente y Ecología', 'T'], ['Relaciones Exteriores', 'T'], ['Transportes y Comunicaciones', 'A'], ['Vivienda y Construcción', 'T']]",FUERZA POPULAR
Alva Prieto María del Carmen,Lima,"25,219",[],ACCIÓN POPULAR
Alva Rojas Carlos Enrique,La Libertad,"8,061","[['Ciencia, Innovación y Tecnología', 'T'], ['Educación, Juventud y Deporte', 'A'], ['Energía y Minas', 'P'], ['Presupuesto y Cuenta General de la República', 'A'], ['Producción, Micro y Pequeña Empresa y Cooperativas', 'T'], ['Relaciones Exteriores', 'A'], ['Transportes y Comunicaciones', 'A'], ['Vivienda y Construcción', 'A']]",ACCIÓN POPULAR
Amuruz Dulanto Yessica Rosselli,Lima,"21,855","[['Constitución y Reglamento', 'A'], ['Descentralización, Regionalización, Gobiernos Locales y Modernización de la Gestión del Estado', 'A'], ['Justicia y Derechos Humanos', 'A'], ['Mujer y Familia', 'A'], ['Relaciones Exteriores', 'T'], ['Transportes y Comunicaciones', 'T'], ['Vivienda y Construcción', 'T']]",AVANZA PAÍS - PARTIDO DE INTEGRACIÓN SOCIAL
Anderson Ramírez Carlos Antonio,Lima,"14,052","[['Constitución y Reglamento', 'A'], ['Economía, Banca, Finanzas e Inteligencia Financiera', 'S'], ['Presupuesto y Cuenta General de la República', 'A']]",PODEMOS PERÚ
Aragón Carreño Luis Ángel,Cusco,"12,291","[['Comercio Exterior y Turismo', 'T'], ['Constitución y Reglamento', 'T'], ['Descentralización, Regionalización, Gobiernos Locales y Modernización de la Gestión del Estado', 'A'], ['Presupuesto y Cuenta General de la República', 'A'], ['Trabajo y Seguridad Social', 'T'], ['Transportes y Comunicaciones', 'S'], ['Vivienda y Construcción', 'A']]",ACCIÓN POPULAR
Arriola Tueros José Alberto,Lima,"34,982","[['Descentralización, Regionalización, Gobiernos Locales y Modernización de la Gestión del Estado', 'A'], ['Inclusión Social y Personas con Discapacidad', 'T'], ['Justicia y Derechos Humanos', 'T'], ['Presupuesto y Cuenta General de la República', 'A'], ['Pueblos Andinos, Amazónicos y Afroperuanos, Ambiente y Ecología', 'T'], ['Vivienda y Construcción', 'T']]",ACCIÓN POPULAR
Azurín Loayza Alfredo,Lima,"23,624","[['Comercio Exterior y Turismo', 'A'], ['Defensa Nacional, Orden interno, Desarrollo alternativo y Lucha contra las Drogas', 'T'], ['Educación, Juventud y Deporte', 'A'], ['Fiscalización y Contraloría', 'A'], ['Relaciones Exteriores', 'A']]",SOMOS PERÚ
Balcázar Zelada José María,Lambayeque,"6,641","[['Constitución y Reglamento', 'T'], ['Educación, Juventud y Deporte', 'T'], ['Justicia y Derechos Humanos', 'V']]",PERÚ LIBRE
Barbarán Reyes Rosangella Andrea,Lima,"22,572","[['Agraria', 'A'], ['Ciencia, Innovación y Tecnología', 'A'], ['Comercio Exterior y Turismo', 'A'], ['Constitución y Reglamento', 'A'], ['Cultura y Patrimonio Cultural', 'A'], ['Defensa del Consumidor y Organismos Reguladores de los Servicios Públicos', 'A'], ['Defensa Nacional, Orden interno, Desarrollo alternativo y Lucha contra las Drogas', 'A'], ['Descentralización, Regionalización, Gobiernos Locales y Modernización de la Gestión del Estado', 'A'], ['Economía, Banca, Finanzas e Inteligencia Financiera', 'T'], ['Educación, Juventud y Deporte', 'A'], ['Energía y Minas', 'A'], ['Fiscalización y Contraloría', 'A'], ['Inclusión Social y Personas con Discapacidad', 'A'], ['Justicia y Derechos Humanos', 'A'], ['Mujer y Familia', 'V'], ['Presupuesto y Cuenta General de la República', 'A'], ['Producción, Micro y Pequeña Empresa y Cooperativas', 'A'], ['Pueblos Andinos, Amazónicos y Afroperuanos, Ambiente y Ecología', 'A'], ['Relaciones Exteriores', 'A'], ['Salud y Población', 'A'], ['Trabajo y Seguridad Social', 'A'], ['Transportes y Comunicaciones', 'A'], ['Vivienda y Construcción', 'A']]",FUERZA POPULAR
Bazán Calderón Diego Alonso Fernando,La Libertad,"22,200","[['Comercio Exterior y Turismo', 'T'], ['Defensa del Consumidor y Organismos Reguladores de los Servicios Públicos', 'T'], ['Energía y Minas', 'A'], ['Fiscalización y Contraloría', 'A'], ['Presupuesto y Cuenta General de la República', 'T'], ['Producción, Micro y Pequeña Empresa y Cooperativas', 'T']]",AVANZA PAÍS - PARTIDO DE INTEGRACIÓN SOCIAL
Bazán Narro Sigrid Tesoro,Lima,"44,359","[['Economía, Banca, Finanzas e Inteligencia Financiera', 'T'], ['Presupuesto y Cuenta General de la República', 'A'], ['Trabajo y Seguridad Social', 'A'], ['Vivienda y Construcción', 'T']]",JUNTOS POR EL PERÚ
